1.00,8.00,0.17,0.39
2.00,8.18,0.24,0.50
3.00,8.17,0.54,1.29
4.00,8.01,0.52,1.16
5.00,7.98,0.53,1.24
6.00,8.28,0.14,0.34
7.00,8.03,0.41,0.94
8.00,8.33,0.23,0.56
9.00,8.10,0.31,0.75
10.00,8.00,0.24,0.56
11.00,8.03,0.29,0.66
12.00,8.18,0.43,1.03
13.00,7.92,0.56,1.19
14.00,7.86,0.33,0.76
15.00,8.34,0.30,0.66
16.00,7.90,0.46,1.05
17.00,7.93,0.77,1.58
18.00,7.80,0.46,0.94
19.00,8.18,0.32,0.73
20.00,7.96,0.22,0.51
21.00,8.05,0.15,0.37
22.00,8.08,0.30,0.68
23.00,8.07,0.39,0.89
24.00,7.82,0.21,0.47
25.00,8.45,0.33,0.73
26.00,8.34,0.48,1.04
27.00,8.21,0.24,0.51
28.00,8.27,0.43,1.01
29.00,8.08,0.29,0.70
30.00,8.02,0.11,0.20
31.00,8.18,0.55,1.19
32.00,8.32,0.58,1.39
33.00,8.03,0.17,0.37
34.00,8.44,0.16,0.37
35.00,8.01,0.33,0.63
36.00,8.14,0.45,0.95
37.00,8.28,0.43,0.96
38.00,7.99,0.45,0.95
39.00,7.89,0.85,1.81
40.00,8.51,0.49,1.05
41.00,8.07,0.09,0.21
42.00,7.37,0.40,0.99
43.00,8.25,0.43,1.03
44.00,7.78,0.42,0.76
45.00,8.09,0.51,1.23
46.00,7.97,0.51,1.15
47.00,7.39,0.57,1.17
48.00,8.12,0.21,0.50
49.00,8.04,0.42,0.88
50.00,8.04,0.41,0.96
51.00,7.97,0.28,0.68
52.00,8.08,0.22,0.53
53.00,7.83,0.33,0.72
54.00,7.82,0.27,0.57
55.00,8.08,0.33,0.77
56.00,8.00,0.49,1.11
57.00,8.00,0.24,0.57
58.00,7.91,0.60,1.33
59.00,8.46,0.27,0.62
60.00,7.88,0.47,1.00
61.00,7.77,0.62,1.32
62.00,8.05,0.20,0.46
63.00,8.08,0.53,1.14
64.00,7.67,0.51,1.15
65.00,8.40,0.31,0.68
66.00,8.13,0.38,0.91
67.00,8.06,0.78,1.74
68.00,7.97,0.26,0.53
69.00,7.80,0.33,0.72
70.00,8.08,0.35,0.79
71.00,8.00,0.27,0.62
72.00,8.19,0.19,0.46
73.00,8.08,0.40,0.95
74.00,8.21,0.58,1.22
75.00,7.97,0.26,0.51
76.00,7.42,0.63,1.37
77.00,8.02,0.30,0.66
78.00,8.12,0.50,1.10
79.00,8.06,0.28,0.68
80.00,8.06,0.18,0.43
81.00,8.31,0.41,0.86
82.00,7.81,0.39,0.82
83.00,8.26,0.39,0.90
84.00,7.89,0.53,1.17
85.00,8.05,0.58,1.21
86.00,7.88,0.55,1.32
87.00,8.16,0.26,0.54
88.00,8.22,0.50,1.11
89.00,8.06,0.41,0.96
90.00,7.94,0.23,0.55
91.00,8.00,0.22,0.49
92.00,7.91,0.20,0.46
93.00,8.05,0.34,0.81
94.00,8.20,0.27,0.65
95.00,8.39,0.51,1.16
96.00,8.08,0.23,0.48
97.00,8.11,0.37,0.81
98.00,7.85,0.64,1.38
99.00,8.12,0.07,0.17
100.00,8.13,0.40,0.87
